Ind_ID	PosInd_X	PosInd_Y	PhenValue	Region
1769	4.54575	1.18779	0.907372	2
1778	3.03037	18.779	0.596147	2
1779	4.76899	5.03788	0.446219	2
1796	2.92441	17.6744	0.389289	2
1807	4.56602	23.9886	0.430212	2
1830	2.87579	17.6046	0.289947	2
1855	3.73602	19.2551	0.0979173	2
1861	2.51012	12.7982	0.513555	2
1876	3.02943	9.42495	0.905715	2
1887	4.34348	8.4195	0.962884	2
1891	3.90725	17.2712	0.485911	2
1904	4.66155	16.3539	-0.20311	2
1906	3.50909	7.97241	0.780229	2
1913	2.50418	16.2373	0.182078	2
1926	3.22149	18.3539	1.15743	2
1960	4.22649	12.4079	0.228093	2
1967	4.09028	12.6207	0.637717	2
1969	2.64574	21.9804	0.0919126	2
1972	2.55874	5.05751	0.788472	2
1976	2.92519	21.3748	-0.0057307	2
1984	2.6684	0.83741	0.642598	2
2001	2.58153	24.0936	-0.120286	2
2006	4.59515	22.7879	0.835221	2
2026	2.93635	22.5751	0.972286	2
2055	3.50418	16.2157	0.685252	2
2067	3.67253	0.16266	0.836261	2
2076	3.29514	6.29391	0.207466	2
2079	4.94131	22.2863	0.413268	2
2097	4.59189	8.68583	1.09193	2
2099	4.67704	22.7068	1.09843	2
2100	3.89512	9.56876	0.512024	2
2115	3.23128	13.7608	0.00498429	2
2136	2.68379	14.1213	-0.626898	2
2143	4.11735	10.2511	0.23352	2
2184	3.76001	15.2476	1.20123	2
2188	3.99957	2.44346	0.562878	2
2218	4.04913	19.046	0.801994	2
2220	3.05309	2.04473	0.853244	2
2224	4.27343	10.6553	0.7261	2
2226	4.47193	10.4157	-0.267933	2
2228	3.84799	0.601456	0.56678	2
2240	3.44377	10.603	-0.618398	2
2242	4.21982	10.2262	-0.263809	2
2247	4.99086	22.5808	0.706319	2
2251	4.06699	3.40597	1.53867	2
2261	3.05	10.625	0.104088	2
2289	3.26854	23.768	0.888387	2
2295	4.06712	22.5726	0.501668	2
2305	3.60222	12.7559	0.363628	2
2310	3.3532	2.89331	0.239816	2
2311	4.47895	15.5339	0.200603	2
2318	4.74738	2.15196	1.75909	2
2332	4.39912	20.0005	1.28598	2
2350	3.718	15.7776	0.396872	2
2365	4.1581	24.0326	0.974009	2
2371	4.40811	0.189349	1.30233	2
2376	3.95925	14.4009	0.435987	2
2379	3.68092	7.48573	0.386254	2
2383	3.27055	13.4697	1.07515	2
2385	4.30844	12.5756	0.881212	2
2394	3.92626	8.46982	-0.242039	2
2399	3.73687	16.8862	0.211534	2
2403	3.09099	3.8402	0.767001	2
2415	3.45845	19.4136	0.994011	2
2440	3.81722	15.8298	1.07984	2
2449	2.65537	5.51897	0.429139	2
2452	3.37421	4.75345	0.166432	2
2462	4.04724	4.61221	0.226965	2
2481	3.26148	1.99126	-0.150594	2
2499	4.8657	1.06842	-0.204529	2
2502	4.34263	3.27478	0.655473	2
2515	4.19262	24.6439	0.602551	2
2527	3.58944	24.2912	1.0581	2
2537	3.77096	2.24349	0.378558	2
2549	4.62711	21.2124	0.118668	2
2560	3.78578	20.178	0.203455	2
2581	4.12573	8.50766	0.153744	2
2582	3.87848	8.99229	0.881189	2
2588	3.84619	18.6811	-0.104977	2
2589	4.92393	23.0256	0.174398	2
2592	4.09257	10.6109	0.298467	2
2596	2.59546	16.8078	0.370186	2
2611	4.36336	12.9487	1.19966	2
2625	3.93823	23.3329	0.164884	2
2630	4.29026	23.8586	0.804825	2
2648	3.46119	5.05279	0.994063	2
2650	3.4106	0.448299	0.455922	2
2655	3.83819	11.1278	0.112349	2
2679	3.0601	10.9974	0.682368	2
2681	3.52491	12.8022	0.690802	2
2690	2.69123	7.73208	-0.572655	2
2691	4.50846	7.15126	0.573319	2
2700	3.14745	9.10617	0.228379	2
2752	3.4375	13.3945	0.977964	2
2758	3.59702	3.36754	0.724367	2
2769	3.83721	18.1554	0.329992	2
2771	3.97165	16.6757	1.0368	2
2794	4.56424	16.5978	0.0598254	2
2795	2.84045	13.6542	1.01052	2
2807	3.1058	11.0229	0.818597	2
2833	3.72427	7.62057	0.942646	2
2883	4.08925	1.27507	0.797393	2
2894	2.56436	13.8175	0.804955	2
2900	4.92153	13.3252	0.627851	2
2921	4.15955	12.3463	0.136586	2
2932	3.84665	24.8904	1.41285	2
2933	4.30035	9.44839	0.528381	2
2934	3.8855	10.187	0.919258	2
2940	4.21312	7.44285	0.429842	2
2956	3.4571	4.85115	0.390745	2
2977	3.45421	13.5835	0.709209	2
2985	4.89017	16.8135	0.818246	2
2990	3.65238	0.888892	1.4519	2
3010	4.94146	24.0644	1.20448	2
3022	2.64779	20.6681	0.504139	2
3030	3.76624	9.95871	0.322534	2
3047	4.47445	15.7294	1.0207	2
3072	4.68938	20.3492	0.30278	2
3078	3.31169	19.2688	0.449299	2
3081	3.74645	17.5045	1.15025	2
3088	4.7756	18.3585	0.135065	2
3092	4.8016	2.90089	0.369018	2
3100	3.68167	19.7857	0.872749	2
3105	3.21111	14.2603	0.384488	2
3108	3.74206	1.908	0.230329	2
3114	4.27416	14.3485	0.271205	2
3115	4.55585	23.0623	-0.244534	2
3123	4.40356	19.258	0.286463	2
3132	3.53756	0.229341	0.137673	2
3136	3.69266	21.9286	0.51181	2
3143	3.92062	1.0331	0.443362	2
3145	2.93237	3.91646	1.03561	2
3147	2.94917	18.1913	0.910603	2
3155	3.20729	24.6116	0.40717	2
3174	4.13373	1.05379	0.65537	2
3199	2.70645	0.402424	0.305536	2
3205	3.56585	18.1611	0.669685	2
