Ind_ID	PosInd_X	PosInd_Y	MutEffect	Region
1412	2.08751	7.87104	0.17189	1
1414	1.74263	14.268	0.750001	1
1423	3.67105	11.5314	-0.045372	1
1430	0.999421	18.7897	0.362871	1
1435	4.55572	22.3022	-0.32784	1
1438	0.541976	14.8799	0.599656	1
1445	0.739388	14.155	0.183918	1
1457	2.87001	5.57917	1.62026	1
1462	0.185088	21.8101	-0.139806	1
1466	2.26923	14.4075	0.909093	1
1469	2.0692	20.3647	-0.0116909	1
1473	4.41226	6.57906	1.11342	1
1486	2.45265	16.032	-0.545681	1
1487	1.83085	10.2052	0.241581	1
1500	3.95867	5.77398	0.400604	1
1504	4.71446	17.6114	0.161157	1
1518	2.7187	4.40106	-0.0190448	1
1520	4.43784	15.3025	0.984504	1
1524	2.0056	12.0087	-0.516714	1
1529	1.45679	15.0516	0.151824	1
1534	3.54366	0.848093	1.03782	1
1539	2.83307	8.51546	0.103732	1
1540	1.51101	21.9109	0.865345	1
1548	4.60152	8.57315	0.997135	1
1552	4.60809	6.00845	0.917684	1
1554	2.67099	22.6398	-0.0715332	1
1558	1.11254	2.80672	0.0405579	1
1562	1.60089	9.58514	-0.15608	1
1567	4.88789	12.8873	0.10018	1
1569	3.50238	10.3056	-0.173463	1
1570	4.24094	1.62416	0.595472	1
1576	3.36522	21.1673	0.21245	1
1583	1.89654	10.371	-1.01491	1
1585	0.570107	7.99057	0.612951	1
1597	3.27865	24.2494	0.141593	1
1598	3.29313	1.98245	0.429641	1
1611	0.120627	2.97245	-0.0152017	1
1612	3.23933	21.9008	0.210141	1
1626	3.16971	9.53827	0.335351	1
1631	0.525202	19.7081	1.07656	1
1633	3.14702	17.8056	0.920368	1
1637	2.98006	0.51044	0.564348	1
1642	1.70452	18.2235	0.521535	1
1650	4.95488	11.9847	0.205058	1
1659	4.87297	11.9741	0.308862	1
1675	3.12777	1.57926	0.454935	1
1678	1.89514	11.5999	-0.831167	1
1689	0.752365	1.97722	0.038443	1
1693	2.64915	6.88511	0.883752	1
1694	2.81019	21.2324	1.03456	1
1695	4.41265	12.0125	0.689693	1
1704	1.47211	13.1253	0.337125	1
1706	4.14999	2.10699	0.304809	1
1712	4.69311	7.03478	0.957239	1
1725	2.04365	7.79271	0.269153	1
1733	0.959968	7.27203	-0.258142	1
1736	3.53015	20.8093	-0.258036	1
1740	1.06361	11.6342	0.277936	1
1741	3.14919	13.7952	-0.732956	1
1744	3.80117	4.13058	0.449481	1
1750	2.63277	18.0345	-0.0686935	1
1751	4.73372	0.82894	-0.204093	1
1769	2.13826	13.1881	0.690809	1
1777	2.6225	12.4364	0.883729	1
1781	0.525219	20.4848	0.555422	1
1784	1.71956	8.09509	0.259774	1
1785	1.91074	21.1739	-0.0708409	1
1794	4.60876	21.2751	-0.0800079	1
1795	0.745098	23.5158	-0.0594353	1
1796	2.93581	20.3208	0.51273	1
1798	3.6908	14.9037	-0.0379168	1
1799	3.85466	2.20952	0.664042	1
1800	3.33201	18.387	0.367245	1
