IND_ID	Opt	Phen	AbsErr	Fitness
345.0	0.26757	0.228068	0.0395026	0.711683
346.0	0.254359	0.343096	0.0887372	0.840315
347.0	0.139499	0.416815	0.277316	0.917118
348.0	0.710232	0.955106	0.244875	0.857077
349.0	0.78137	0.739296	0.0420741	0.760644
350.0	0.0246545	-0.0259723	0.0506268	0.785425
351.0	0.686373	0.770705	0.0843319	0.860557
352.0	0.500876	0.0827042	0.418172	0.851781
353.0	0.445009	1.0709	0.625894	0.806431
354.0	0.329612	0.788005	0.458394	0.649761
355.0	0.717008	0.618203	0.0988048	0.891834
356.0	0.0504814	-0.090459	0.14094	0.842133
357.0	0.307341	0.328904	0.0215627	0.717611
358.0	0.207002	0.0672891	0.139713	0.747466
359.0	0.563597	0.772784	0.209187	0.745246
360.0	0.447166	0.602536	0.15537	0.758369
361.0	0.612093	0.951278	0.339185	0.887934
362.0	0.45863	0.178562	0.280067	0.80617
363.0	0.833187	1.07926	0.246078	0.775347
364.0	0.116009	0.318978	0.202968	0.763101
365.0	0.436822	0.666741	0.229919	0.8329
366.0	0.341117	0.507467	0.16635	0.871958
367.0	0.18307	0.433431	0.250362	0.912332
368.0	0.819364	0.480047	0.339316	0.736589
369.0	0.14338	0.456748	0.313368	0.872443
370.0	0.506176	0.869733	0.363557	0.771345
371.0	0.710118	0.579373	0.130745	0.737459
372.0	0.847658	1.06178	0.214117	0.765241
373.0	0.107675	0.0325072	0.0751679	0.843949
374.0	0.462592	0.362255	0.100338	0.77126
375.0	0.527439	0.62883	0.101391	0.797375
376.0	0.655703	0.716458	0.0607545	0.846332
377.0	0.243616	-0.0524198	0.296036	0.75741
378.0	0.186247	-0.0146362	0.200884	0.952838
379.0	0.0855946	0.153399	0.0678046	0.861509
380.0	0.311035	0.907862	0.596826	0.753372
381.0	0.906192	1.25894	0.352743	0.745602
382.0	0.126837	0.505846	0.379009	0.801833
383.0	0.646867	0.958764	0.311897	0.710644
384.0	0.792664	0.825387	0.0327229	0.808211
385.0	0.798757	1.26951	0.470757	0.791732
386.0	0.40249	-0.0538029	0.456293	0.850634
387.0	0.813883	0.482336	0.331548	0.902386
388.0	0.994912	1.24314	0.248227	0.730161
389.0	0.401128	0.561477	0.160348	0.823168
390.0	0.269819	-0.159466	0.429285	0.811405
391.0	0.26572	0.205848	0.0598725	0.848785
392.0	0.333157	0.131029	0.202128	0.863159
393.0	0.406586	-0.118157	0.524743	0.942061
394.0	0.864855	0.730637	0.134218	0.752472
395.0	0.436747	0.122565	0.314181	0.810422
396.0	0.667222	1.07821	0.410984	0.801792
397.0	0.335576	0.75008	0.414504	0.626998
398.0	0.68271	0.75135	0.0686393	0.754572
399.0	0.18264	0.416615	0.233975	0.715484
400.0	0.368322	0.171744	0.196577	0.835412
401.0	0.948325	0.426075	0.52225	0.981429
402.0	0.693348	0.332251	0.361097	0.936547
403.0	0.398633	0.355059	0.0435737	0.817389
404.0	0.323085	0.134785	0.1883	0.859506
405.0	0.461074	0.383198	0.0778758	0.800544
406.0	0.901722	1.24849	0.346767	0.772992
407.0	0.404023	0.0888905	0.315132	0.79459
408.0	0.620074	1.23282	0.612744	0.777794
409.0	0.245063	-0.0157088	0.260771	0.728852
410.0	0.481649	0.522717	0.041068	0.899899
411.0	0.546525	0.54453	0.00199455	0.814858
412.0	0.763019	0.664908	0.0981111	0.8242
413.0	0.556447	0.358996	0.197451	0.714225
414.0	0.573467	1.14502	0.571555	0.73656
415.0	0.768038	0.925257	0.157218	0.825249
416.0	0.736179	1.0102	0.274022	0.813828
417.0	0.858349	1.24614	0.387795	0.719233
418.0	0.0576702	-0.183234	0.240904	0.825875
419.0	0.0286019	0.130807	0.102205	0.867583
420.0	0.985143	0.818423	0.166719	0.866544
421.0	0.708684	0.807809	0.0991246	0.827508
422.0	0.651167	0.569665	0.0815017	0.802358
423.0	0.307667	0.479474	0.171807	0.811682
424.0	0.824287	0.630828	0.193459	0.827222
425.0	0.476373	0.89034	0.413967	0.788688
426.0	0.837727	0.933185	0.0954587	0.714572
427.0	0.481956	0.284625	0.197331	0.728895
428.0	0.871308	0.669026	0.202283	0.857804
429.0	0.844256	0.803673	0.0405829	0.716211
430.0	0.512396	0.327903	0.184494	0.780771
431.0	0.919768	0.874223	0.0455446	0.84036
432.0	0.023481	-0.482169	0.50565	0.792647
433.0	0.366438	0.122556	0.243882	0.854966
434.0	0.927655	0.85449	0.0731643	0.807648
435.0	0.192189	0.409953	0.217763	0.773252
436.0	0.449468	0.385358	0.0641101	0.779101
437.0	0.307368	0.355085	0.0477165	0.835589
438.0	0.708614	0.557729	0.150885	0.844089
439.0	0.822335	0.826497	0.00416208	0.893059
440.0	0.473673	0.628049	0.154376	0.897016
441.0	0.529981	0.641673	0.111692	0.788333
442.0	0.224339	0.244515	0.020176	0.812013
443.0	0.0883001	0.174526	0.0862256	0.786231
444.0	0.177442	1.04121	0.86377	0.73942
445.0	0.290417	0.232755	0.0576621	0.731604
446.0	0.851454	0.801393	0.0500613	0.775218
447.0	0.840839	1.6613	0.820458	0.808254
448.0	0.886207	1.0552	0.16899	0.897202
449.0	0.110581	0.0185701	0.0920111	0.925822
450.0	0.886436	1.3083	0.42186	0.910805
451.0	0.578089	0.494528	0.0835606	0.9257
452.0	0.160596	0.132621	0.0279752	0.806242
453.0	0.32169	0.832824	0.511134	0.855083
454.0	0.348565	0.629654	0.281088	0.703209
455.0	0.105929	0.400235	0.294307	0.888911
456.0	0.123027	0.422271	0.299244	0.766579
457.0	0.0910623	0.26064	0.169578	0.765344
458.0	0.356287	0.647488	0.291201	0.810453
459.0	0.478241	0.329716	0.148525	0.705991
460.0	0.991815	0.525158	0.466657	0.740615
461.0	0.438085	0.606608	0.168523	0.855518
462.0	0.451394	-0.0242813	0.475676	0.780465
463.0	0.424946	-0.074072	0.499018	0.881933
464.0	0.640096	1.02455	0.384455	0.850544
465.0	0.869723	0.764508	0.105214	0.815006
466.0	0.596413	0.1897	0.406713	0.818317
467.0	0.195183	0.774243	0.579059	0.865853
468.0	0.382694	0.0983624	0.284332	0.798521
469.0	0.188082	0.529457	0.341375	0.767675
470.0	0.503881	0.59199	0.0881088	0.723535
471.0	0.351315	0.357864	0.00654846	0.777727
