Ind_ID	PosInd_X	PosInd_Y	MutEffect	Region
1617	5.16228	21.2075	0.124798	1
1623	1.09556	23.3497	0.349307	1
1624	0.571825	20.4452	0.428628	1
1628	2.64836	20.1848	0.726574	1
1629	6.34898	8.46862	0.498964	1
1631	2.98158	5.62758	0.0818738	1
1633	4.25444	21.5293	0.478614	1
1635	5.14351	15.2973	0.454984	1
1637	4.58017	16.4594	-0.24156	1
1640	2.4906	5.85896	0.828719	1
1653	5.04245	17.6832	0.462844	1
1656	0.433408	9.34381	0.360591	1
1660	7.33211	16.2756	-0.542058	1
1663	4.83389	24.9827	0.794608	1
1666	4.97062	15.6686	-0.481898	1
1668	2.31684	22.0818	-0.0930496	1
1670	1.53641	13.8217	0.775484	1
1671	2.98213	4.60757	0.0621332	1
1672	5.69976	4.59749	0.46896	1
1675	1.1628	13.5617	0.214773	1
1676	5.90436	10.529	0.0975233	1
1677	7.66913	22.013	-0.150873	1
1684	4.36486	11.2943	0.861711	1
1686	6.07268	5.30981	-0.0583526	1
1690	7.2191	8.82575	-0.306694	1
1691	1.26988	14.7917	-0.0192247	1
1693	1.09453	6.49885	0.415213	1
1698	3.67168	24.0184	0.108345	1
1701	2.0118	8.82697	0.702084	1
1702	4.98283	3.30329	-0.00849281	1
1708	1.04448	13.0123	0.84451	1
1709	7.82585	23.2299	0.0308644	1
1712	3.23105	8.90706	0.315764	1
1717	4.61471	3.14023	0.210424	1
1721	4.97807	10.0141	0.254682	1
1722	4.61508	10.0008	0.339018	1
1723	1.64876	6.46784	0.357679	1
1727	3.20294	9.4048	0.135324	1
1728	1.81024	24.0407	0.726692	1
1730	2.34623	12.2031	-0.343866	1
1734	4.9285	11.3001	0.309756	1
1736	0.26739	5.0528	1.00228	1
1743	5.64314	8.06594	0.0192941	1
1744	3.21783	8.07896	-0.153869	1
1747	4.81095	0.73726	1.07341	1
1752	0.45832	6.19384	0.784607	1
1753	4.14387	13.9891	-0.359375	1
1758	8.16831	11.5701	0.0877832	1
1760	0.0283334	21.3273	0.56635	1
1761	0.0803448	18.688	0.0911129	1
1767	7.68082	10.9028	-0.314575	1
1771	7.78124	22.4213	0.35227	1
1772	5.67448	6.05825	0.871168	1
1776	7.39808	3.06259	0.454763	1
1777	6.93292	4.93712	0.607873	1
1780	1.12899	11.1609	0.372975	1
1781	1.67355	14.9277	-0.0498084	1
1787	6.19805	14.9809	0.499489	1
1789	0.566677	5.16343	0.333996	1
1790	6.81138	19.5045	0.526075	1
1791	3.45024	16.918	-0.386329	1
1792	3.24401	11.0087	0.509877	1
1797	7.50863	18.7444	0.729249	1
1800	1.69637	9.69643	-0.471556	1
1803	2.56221	22.0613	0.00702816	1
1806	1.6201	1.19487	0.528084	1
1808	6.38939	9.31302	-0.574506	1
1809	0.531572	10.657	0.0829764	1
1811	6.34707	5.80762	0.482121	1
1821	2.51671	3.02736	-0.433959	1
1824	4.904	8.92436	-0.526511	1
1826	0.617335	12.7704	-0.210824	1
1830	7.14164	17.1965	0.288267	1
1834	0.600849	18.3684	0.244726	1
1843	7.51123	20.6525	0.517185	1
1844	4.71048	9.79284	0.374877	1
1846	5.24097	0.0932415	0.510806	1
1847	8.08962	24.8993	0.507884	1
1849	7.65888	8.61719	0.27428	1
1850	6.19555	0.572395	0.361346	1
1851	5.70828	0.371515	-0.484756	1
1854	0.358098	15.5543	-0.302255	1
1856	7.8851	8.63429	0.517764	1
1857	5.81475	19.0774	0.111851	1
1858	7.70311	16.0453	0.4	1
1859	4.71261	20.5403	0.726425	1
1860	2.25302	2.65441	0.543301	1
1863	2.68644	15.3419	0.379124	1
1864	4.00032	16.0514	1.34848	1
1866	5.5641	0.565054	0.633763	1
1868	7.18145	3.06106	-0.131276	1
1869	7.18418	7.18167	0.794938	1
1871	8.3146	14.761	0.0437393	1
1877	3.2982	7.69526	0.799034	1
1882	0.962908	19.5757	0.195102	1
1884	7.70669	2.48589	0.324443	1
1886	7.15768	24.736	-0.0954941	1
1889	3.8349	17.4554	0.144156	1
1898	7.54885	6.61929	-0.609902	1
1899	5.70059	14.7686	0.273623	1
1903	4.31778	21.7526	0.31904	1
1906	4.56856	18.0926	-0.552777	1
1907	4.06845	15.9381	0.999589	1
1917	7.89638	17.3711	0.941086	1
1919	5.60218	23.9513	-0.0361833	1
1923	4.35857	2.52921	0.193826	1
1924	3.75239	3.37475	-0.974449	1
1928	1.0252	22.3733	0.326327	1
1929	5.58115	3.14673	1.18624	1
1930	6.65948	22.6846	0.865593	1
1933	2.19837	20.6822	-0.164165	1
1941	8.24545	12.8726	0.281767	1
1944	8.07069	23.001	0.130764	1
1946	7.88189	1.3843	0.376071	1
1947	5.63881	21.2143	0.77514	1
1950	2.69035	12.5092	0.38781	1
1951	3.83535	23.393	-0.27637	1
1953	1.3253	15.3198	0.359492	1
1957	0.842866	7.38986	0.0183072	1
1958	3.70018	13.4042	0.606569	1
1961	4.47508	13.8514	0.457321	1
1965	7.30434	11.2432	0.124092	1
1967	4.18508	13.0338	0.862644	1
1968	0.904974	10.0306	0.0220724	1
1977	7.81534	14.2499	0.914498	1
1987	1.94837	18.9807	1.00666	1
1988	7.13807	1.67666	0.501111	1
1993	2.5217	21.2187	0.557521	1
1994	6.88398	6.78603	0.390395	1
1998	1.24873	18.2824	1.14198	1
2004	5.70315	5.78803	0.775707	1
2005	4.77212	12.2797	0.434969	1
2006	6.34536	9.76296	0.100901	1
2007	3.76189	19.3367	-0.215149	1
2008	4.11512	24.7052	0.548572	1
2011	0.838372	21.4393	0.438302	1
2015	1.04717	2.47412	-0.249268	1
2020	1.04668	14.6939	0.416838	1
2021	0.39449	17.661	0.467595	1
2022	4.23833	3.01189	0.637006	1
2030	6.91628	14.7581	-0.907531	1
2032	3.46844	6.98614	0.264119	1
2033	2.93124	2.70075	-0.0150721	1
2034	3.00419	2.4925	0.798285	1
2044	7.55076	24.7655	0.255862	1
2047	6.45676	16.8113	0.836293	1
